X;Y;STD
0.000000;8.481900;0.684772
0.630000;9.775294;0.604168
1.260000;10.096470;0.425311
1.890000;10.170865;0.364323
2.520000;10.250377;0.318102
3.150000;10.284057;0.274723
3.780000;10.317222;0.285895
4.410000;10.398818;0.275975
5.040000;10.414090;0.246940
5.670000;10.393124;0.307734
6.300000;10.385789;0.330463
6.930000;10.374736;0.349330
7.560000;10.364223;0.365307
8.190000;10.341609;0.424594
8.820000;10.359406;0.417591
9.450000;10.353000;0.428321
10.079999;10.388114;0.434332
10.710000;10.386532;0.539791
11.340000;10.464435;0.585505
11.969999;10.565000;0.544928
12.600000;10.670625;0.377444
13.229999;10.732968;0.301857
13.859999;10.726154;0.294246
14.489999;10.686136;0.281858
15.120000;10.655076;0.268250
15.750000;10.666385;0.244260
16.380000;10.693846;0.268953
17.009999;10.640538;0.345197
17.639999;10.525846;0.596257
18.269999;10.829537;0.317894
18.900000;10.918385;0.334820
19.530000;11.126769;0.332024
20.159999;11.278614;0.341064
20.789999;11.246484;0.460355
21.419999;11.251406;0.499860
22.049999;11.285076;0.423668
22.679999;11.269452;0.376326
23.310000;11.222076;0.320874
23.939998;11.155846;0.368836
24.569999;11.131641;0.272477
25.200000;11.013693;0.214870
25.829998;10.835999;0.190716
26.459998;10.726154;0.258661
27.089998;10.690909;0.358594
27.719998;10.663154;0.558050
28.349999;10.823076;0.907802
28.979999;11.010682;1.032976
29.609999;11.090227;1.132027
30.239999;11.264077;1.203895
30.870000;11.282726;1.269140
31.500000;11.417954;1.114864
32.130000;11.642272;1.075703
32.760000;11.622089;1.045003
33.389997;11.680454;0.912089
34.019998;11.740909;0.798589
34.649998;11.661363;0.688013
35.279998;11.459317;0.695510
35.909998;11.265227;0.604219
36.539999;10.989999;0.486127
37.169999;10.840846;0.432740
37.799999;10.824545;0.457578
38.429999;10.873863;0.468547
39.060000;10.844076;0.509589
39.690000;10.800682;0.542175
40.319997;10.799091;0.634023
40.949997;10.745538;0.660562
41.579998;10.740691;0.636626
42.209998;10.690909;0.593377
42.839998;10.672846;0.541513
43.469998;10.792384;0.595822
44.099998;10.923181;0.724923
44.729999;11.025000;0.714019
45.359999;10.977273;0.724510
45.989999;10.764850;0.644303
46.619999;10.553283;0.564242
47.250000;10.585909;0.556778
47.879997;10.531343;0.528285
48.509997;10.429478;0.384134
49.139997;10.459253;0.402787
49.769998;10.500000;0.372539
50.400001;10.484558;0.286566
51.029998;10.466029;0.307425
51.659995;10.432611;0.332885
52.289999;10.373382;0.367958
52.919996;10.362573;0.284295
53.549999;10.352391;0.252391
54.179996;10.335652;0.204971
54.809999;10.314348;0.173428
55.439997;10.331087;0.164054
56.070000;10.352391;0.175460
56.699997;10.355999;0.209382
57.330000;10.385869;0.198872
57.959998;10.408695;0.271068
58.590001;10.438500;0.274672
59.219998;10.448261;0.331853
59.849995;10.461956;0.304937
60.479999;10.419348;0.441919
61.109996;10.449044;0.411604
61.739999;10.436086;0.467261
62.369996;10.437609;0.418972
63.000000;10.362573;0.631863
63.629997;10.266837;1.030494
64.260000;10.220514;1.115819
64.889997;10.312615;0.931074
65.520000;10.402835;0.776974
66.149998;10.430000;0.830367
66.779995;10.500000;0.698119
67.409998;10.524348;0.694221
68.039995;10.626617;0.584221
68.669999;10.717954;0.503660
69.299996;10.689926;0.636723
69.929999;10.770220;0.395054
70.559996;10.720809;0.385426
71.190000;10.685294;0.338372
71.819997;10.626617;0.341941
72.450000;10.541691;0.310414
73.079997;10.440448;0.390018
73.709995;10.388824;0.384058
74.339998;10.341716;0.367496
74.969995;10.288433;0.383325
75.599998;10.246120;0.437701
76.229995;10.239850;0.424047
76.859999;10.261364;0.398594
77.489996;10.263358;0.445233
78.119999;10.274328;0.497564
78.749996;10.313863;0.466290
79.380000;10.340149;0.490597
80.009997;10.385597;0.484660
80.639994;10.441136;0.430271
81.269997;10.424776;0.501693
81.899995;10.338581;0.754846
82.529998;10.272231;0.928532
83.159995;10.315075;0.580825
83.789998;10.341716;0.578920
84.419996;10.380895;0.601379
85.049999;10.415373;0.608539
85.679996;10.377761;0.650454
86.309999;10.390298;0.627760
86.939996;10.346418;0.229697
87.570000;10.346418;0.223892
88.199997;10.338581;0.196513
88.829994;10.333880;0.206178
89.459997;10.340149;0.256129
90.089995;10.366363;0.234467
90.719998;10.336136;0.255986
91.349995;10.269626;0.336589
91.979998;10.262954;0.363415
92.609996;10.274091;0.338626
93.239999;10.254999;0.402265
93.869996;10.211641;0.436276
94.499999;10.206940;0.374671
95.129997;10.214776;0.338318
95.759994;10.199104;0.360951
96.389997;10.203806;0.367737
97.019994;10.195970;0.359699
97.649997;10.213208;0.405082
98.279995;10.225746;0.451693
98.909998;10.195970;0.837870
99.539995;10.264545;0.602364
100.169992;10.210074;0.661367
100.800002;10.120746;0.863177
101.429999;10.167761;0.628060
102.059996;10.425691;1.092550
102.689993;10.626940;1.411471
103.319991;11.002384;1.565169
103.950000;11.425312;1.377797
104.579997;11.663467;1.590651
105.209994;11.604250;2.023666
105.839992;11.683333;1.782320
106.470001;11.756666;1.441627
107.099998;11.614615;1.316313
107.729995;11.474531;1.164871
108.359993;11.310922;1.133957
108.990002;10.958769;0.926522
109.619999;10.708385;0.778912
110.249996;10.439297;0.532754
110.879993;10.358906;0.397329
111.509991;10.331015;0.419432
112.140000;10.335000;0.474653
112.769997;10.301484;0.589930
113.399994;10.365468;0.532322
114.029992;10.461666;0.692792
114.660001;10.651666;0.785032
115.289998;10.831666;0.749082
115.919995;10.953332;0.752258
116.549993;10.973333;0.652886
117.180002;11.026666;0.598802
117.809999;11.053333;0.674845
118.439996;11.139999;0.673165
119.069993;11.223333;0.765243
119.699991;11.190703;0.859623
120.330000;11.163333;0.890136
120.959997;10.821667;0.935017
121.589994;10.751015;0.966916
122.219992;10.581666;0.836333
122.850001;10.531667;0.847181
123.479998;10.601719;0.912158
124.109995;10.680000;0.935119
124.739993;10.794999;0.906889
125.369990;10.795312;0.860839
125.999999;10.715000;0.809099
126.629996;10.621666;0.745569
127.259994;10.621406;0.730349
127.889991;10.667343;0.820017
128.520000;10.648333;0.857453
129.149997;10.657500;0.832791
129.779994;10.550859;0.766435
130.409992;10.603359;0.647660
131.040001;10.595156;0.651169
131.669998;10.708385;0.710109
132.299995;10.898671;0.743199
132.929993;10.982999;0.782245
133.559990;10.923231;0.729549
134.189999;10.684153;0.483469
134.819996;10.676077;0.479260
135.449994;10.667999;0.458170
136.079991;10.590462;0.414248
136.710000;10.488692;0.402303
137.339997;10.285227;0.419778
137.969995;10.228615;0.371531
138.599992;10.231846;0.316367
139.230001;10.226363;0.319685
139.859998;10.173693;0.346586
140.489995;10.160770;0.361275
141.119993;10.199317;0.307436
141.749990;10.157538;0.401525
142.379999;10.159153;0.459363
143.009996;10.194692;0.380023
143.639994;10.194545;0.427376
144.269991;10.259308;0.423501
144.900000;10.281923;0.454630
145.529997;10.325538;0.402795
146.159995;10.312615;0.386558
146.789992;10.285227;0.368494
147.419989;10.280307;0.349813
148.049998;10.256077;0.375701
148.679996;10.183409;0.299503
149.309993;10.097499;0.287612
149.939990;10.022727;0.352627
150.569999;9.978182;0.386428
151.199996;9.965454;0.411459
151.829994;9.884317;0.734297
152.459991;9.908182;0.488958
153.090000;9.874772;0.464360
153.719997;9.779318;0.496852
154.349995;9.774546;0.460127
154.979992;9.736363;0.564718
155.609989;9.752272;0.561154
156.239998;9.699772;0.607810
156.869996;9.728409;0.582185
157.499993;9.794077;0.554233
158.129990;9.748846;0.641799
158.759999;9.742727;0.667217
159.389997;9.693409;0.711710
160.019994;9.733827;0.700113
160.649991;9.803333;0.619718
161.279988;9.681328;1.032326
161.909997;9.637727;1.305002
162.539995;10.121363;0.592533
163.169992;10.243864;0.595407
163.799989;10.379091;0.601299
