X;Y;STD
0.000000;9.745615;2.069318
0.630000;12.590307;0.900183
1.260000;13.183863;0.511499
1.890000;13.411790;0.406282
2.520000;13.518357;0.406624
3.150000;13.656177;0.419958
3.780000;13.774781;0.369538
4.410000;13.878261;0.285405
5.040000;13.845000;0.268137
5.670000;13.799365;0.244634
6.300000;13.703240;0.242149
6.930000;13.679166;0.198211
7.560000;13.706096;0.199025
8.190000;13.739178;0.197112
8.820000;13.755000;0.170010
9.450000;13.773200;0.163844
10.079999;13.780200;0.148280
10.710000;13.785395;0.150248
11.340000;13.814999;0.170446
11.969999;13.846363;0.180144
12.600000;13.865384;0.198134
13.229999;13.895886;0.211290
13.859999;13.929114;0.260338
14.489999;13.959749;0.251744
15.120000;13.989630;0.242045
15.750000;13.988334;0.288111
16.380000;13.985488;0.321906
17.009999;14.009278;0.345013
17.639999;14.044698;0.377572
18.269999;14.119337;0.444684
18.900000;14.168750;0.440547
19.530000;14.224337;0.358708
20.159999;14.225602;0.350828
20.789999;14.181249;0.349127
21.419999;14.180060;0.318550
22.049999;14.174999;0.277086
22.679999;14.158750;0.250166
23.310000;14.135782;0.241568
23.939998;14.058614;0.195562
24.569999;14.035000;0.179158
25.200000;14.018132;0.154918
25.829998;13.983975;0.144980
26.459998;13.970000;0.165912
27.089998;13.947289;0.204081
27.719998;13.932109;0.214920
28.349999;13.942228;0.219350
28.979999;13.948554;0.268089
29.609999;13.959940;0.260706
30.239999;13.981445;0.251677
30.870000;14.011806;0.261411
31.500000;14.034577;0.257896
32.130000;14.017500;0.250736
32.760000;14.034577;0.231859
33.389997;14.044698;0.224445
34.019998;14.046249;0.242171
34.649998;14.064939;0.237790
35.279998;14.070000;0.211889
35.909998;14.057349;0.194510
36.539999;14.051023;0.173392
37.169999;14.035843;0.183044
37.799999;14.039639;0.155058
38.429999;14.040902;0.177343
39.060000;14.037108;0.162067
39.690000;14.028253;0.157907
40.319997;14.009278;0.181546
40.949997;14.009817;0.216914
41.579998;14.017500;0.238339
42.209998;14.046951;0.206144
42.839998;14.057195;0.202409
43.469998;14.049511;0.222751
44.099998;14.073841;0.211523
44.729999;14.094630;0.196757
45.359999;14.086646;0.207711
45.989999;14.087926;0.216194
46.619999;14.077778;0.276920
47.250000;14.073887;0.294909
47.879997;14.078964;0.331278
48.509997;14.134814;0.335149
49.139997;14.191851;0.268829
49.769998;14.251828;0.321789
50.400001;14.323536;0.325508
51.029998;14.392778;0.369926
51.659995;14.464073;0.373544
52.289999;14.512035;0.409098
52.919996;14.535937;0.391765
53.549999;14.517272;0.475169
54.179996;14.658985;0.480317
54.809999;14.754140;0.502189
55.439997;14.735538;0.476863
56.070000;14.737155;0.502849
56.699997;14.727461;0.456869
57.330000;14.735538;0.464612
57.959998;14.677384;0.428171
58.590001;14.545682;0.277931
59.219998;14.439923;0.240256
59.849995;14.385000;0.217041
60.479999;14.349462;0.191603
61.109996;14.353181;0.205103
61.739999;14.394692;0.227663
62.369996;14.459306;0.273042
63.000000;14.497954;0.274349
63.629997;14.520693;0.271116
64.260000;14.522307;0.299211
64.889997;14.488408;0.368066
65.520000;14.548154;0.312031
66.149998;14.569153;0.299283
66.779995;14.556818;0.307811
67.409998;14.502923;0.245387
68.039995;14.386615;0.193633
68.669999;14.324544;0.155183
69.299996;14.344615;0.148117
69.929999;14.352691;0.175634
70.559996;14.324544;0.173480
71.190000;14.318769;0.155802
71.819997;14.328460;0.157504
72.450000;14.343636;0.148323
73.079997;14.352691;0.142588
73.709995;14.370461;0.163547
74.339998;14.394546;0.199979
74.969995;14.420538;0.235388
75.599998;14.457692;0.261729
76.229995;14.483635;0.287784
76.859999;14.523922;0.296488
77.489996;14.557844;0.285023
78.119999;14.591818;0.261050
78.749996;14.607923;0.265314
79.380000;14.646693;0.344133
80.009997;14.668182;0.346762
80.639994;14.701614;0.435281
81.269997;14.670923;0.332268
81.899995;14.612500;0.425350
82.529998;14.585307;0.274831
83.159995;14.565924;0.233300
83.789998;14.513864;0.212162
84.419996;14.459306;0.209002
85.049999;14.454462;0.140535
85.679996;14.491591;0.177673
86.309999;14.557844;0.196201
86.939996;14.582077;0.195365
87.570000;14.610909;0.210952
88.199997;14.622460;0.231735
88.829994;14.683846;0.271422
89.459997;14.676136;0.306321
90.089995;14.690308;0.293917
90.719998;14.724231;0.305835
91.349995;14.693636;0.309055
91.979998;14.617614;0.255578
92.609996;14.559461;0.200259
93.239999;14.513864;0.154807
93.869996;14.512613;0.155798
94.499999;14.494847;0.247377
95.129997;14.502726;0.292154
95.759994;14.527154;0.286748
96.389997;14.511000;0.293091
97.019994;14.521816;0.277819
97.649997;14.556818;0.255632
98.279995;14.560001;0.260607
98.909998;14.539318;0.273091
99.539995;14.539318;0.305430
100.169992;14.501137;0.274233
100.800002;14.502726;0.259448
101.429999;14.522910;0.237386
102.059996;14.569925;0.203663
102.689993;14.639544;0.211650
103.319991;14.678060;0.216577
103.950000;14.696866;0.229418
104.579997;14.727044;0.212671
105.209994;14.753284;0.227587
105.839992;14.809701;0.232673
106.470001;14.870228;0.233167
107.099998;14.877090;0.307968
107.729995;14.890908;0.309091
108.359993;14.927500;0.244911
108.990002;14.892499;0.235236
109.619999;14.843181;0.289970
110.249996;14.805000;0.240849
110.879993;14.782386;0.241152
111.509991;14.747727;0.260548
112.140000;14.780769;0.251064
112.769997;14.792076;0.248142
113.399994;14.850000;0.195047
114.029992;14.993334;0.296464
114.660001;15.259999;0.548011
115.289998;15.348333;0.552927
