X;Y;STD
0.000000;8.406057;0.658116
0.630000;9.750865;0.563947
1.260000;10.004717;0.406598
1.890000;10.044999;0.371513
2.520000;10.064444;0.345541
3.150000;10.045636;0.366499
3.780000;10.064999;0.383464
4.410000;10.102500;0.382056
5.040000;10.150000;0.432411
5.670000;10.197672;0.416400
6.300000;10.213965;0.461730
6.930000;10.256186;0.452328
7.560000;10.276000;0.475970
8.190000;10.310656;0.497534
8.820000;10.327257;0.514087
9.450000;10.228333;0.485207
10.079999;10.171666;0.432517
10.710000;10.222734;0.499567
11.340000;10.281923;0.506178
11.969999;10.357846;0.464641
12.600000;10.380682;0.479035
13.229999;10.390298;0.483197
13.859999;10.412239;0.476742
14.489999;10.374926;0.482941
15.120000;10.351764;0.474125
15.750000;10.387164;0.463681
16.380000;10.343283;0.532741
17.009999;10.306985;0.501498
17.639999;10.286865;0.479626
18.269999;10.304105;0.386489
18.900000;10.293134;0.344182
19.530000;10.286865;0.315778
20.159999;10.288433;0.321708
20.789999;10.286865;0.299188
21.419999;10.302727;0.256215
22.049999;10.307238;0.246488
22.679999;10.307238;0.255019
23.310000;10.304105;0.259667
23.939998;10.318208;0.256300
24.569999;10.299402;0.262090
25.200000;10.307238;0.272488
25.829998;10.341716;0.248320
26.459998;10.393433;0.265059
27.089998;10.443582;0.243621
27.719998;10.445149;0.306976
28.349999;10.472954;0.263809
28.979999;10.454552;0.279423
29.609999;10.432611;0.225645
30.239999;10.391818;0.231906
30.870000;10.362089;0.231751
31.500000;10.321343;0.220708
32.130000;10.266136;0.198376
32.760000;10.235149;0.194827
33.389997;10.239850;0.180850
34.019998;10.293181;0.159307
34.649998;10.492045;0.583851
35.279998;10.611364;0.691646
35.909998;10.948636;0.799351
36.539999;10.999545;0.787884
37.169999;10.863461;0.717144
37.799999;10.776230;0.662180
38.429999;10.574307;0.495140
39.060000;10.503182;0.399186
39.690000;10.457046;0.347265
40.319997;10.464999;0.354592
40.949997;10.457999;0.265510
41.579998;10.476136;0.196684
42.209998;10.522272;0.236575
42.839998;10.522272;0.247615
43.469998;10.508076;0.298313
44.099998;10.275682;0.737918
44.729999;10.655909;1.298167
45.359999;12.141230;2.214983
45.989999;13.209318;2.295725
46.619999;13.864772;2.130830
47.250000;14.223461;1.872701
47.879997;14.524999;1.519549
48.509997;14.719091;0.540013
49.139997;14.467727;0.606376
49.769998;13.814552;0.968338
50.400001;13.386716;1.203540
51.029998;12.752727;1.434479
51.659995;11.850895;1.543596
52.289999;11.622089;1.423387
52.919996;11.589772;1.363505
53.549999;11.507686;1.331875
54.179996;11.280448;1.271208
54.809999;11.244403;1.264786
55.439997;11.020298;0.990890
56.070000;10.870682;0.788764
56.699997;10.891791;0.771496
57.330000;10.884999;0.698252
57.959998;10.861136;0.624712
58.590001;10.861136;0.603772
59.219998;10.899318;0.494257
59.849995;10.916769;0.465209
60.479999;10.963615;0.453368
61.109996;10.974923;0.546402
61.739999;11.073461;0.531283
62.369996;11.105390;0.584539
63.000000;11.249538;0.597642
63.629997;11.284218;0.510010
64.260000;11.297344;0.453798
64.889997;11.210390;0.483578
65.520000;11.236640;0.545120
66.149998;11.169375;0.640979
66.779995;10.977422;0.644043
67.409998;10.736249;0.448176
