X;Y;STD
0.000000;8.960660;1.333150
0.630000;10.857777;0.673089
1.260000;11.067778;0.592423
1.890000;11.150999;0.632039
2.520000;11.231250;0.671437
3.150000;11.247895;0.672199
3.780000;11.311034;0.767836
4.410000;11.345431;0.837144
5.040000;11.402288;0.960222
5.670000;11.437999;1.100391
6.300000;11.450250;1.118534
6.930000;11.321065;0.979192
7.560000;11.241885;0.779945
8.190000;11.216370;0.582341
8.820000;11.251666;0.580020
9.450000;11.260000;0.587361
10.079999;11.318672;0.733165
10.710000;11.385231;0.664833
11.340000;11.480000;0.653253
11.969999;11.551566;0.596322
12.600000;11.733750;0.782517
13.229999;11.954559;0.858754
13.859999;12.047608;0.942489
14.489999;12.123000;1.048598
15.120000;12.147000;1.188806
15.750000;12.282000;1.141417
16.380000;12.592500;1.254903
17.009999;12.820353;1.162054
17.639999;12.895499;1.172902
18.269999;12.821999;1.060525
18.900000;12.694646;1.059596
19.530000;12.716831;1.027808
20.159999;12.447675;0.846227
20.789999;12.466901;0.625295
21.419999;12.521620;0.576373
22.049999;12.722746;0.730228
22.679999;13.604999;1.693315
23.310000;13.919155;1.878933
23.939998;14.120281;1.739303
24.569999;13.988662;1.956302
25.200000;13.880704;2.119106
25.829998;13.224085;2.010380
26.459998;12.898731;1.544149
27.089998;12.764154;0.946848
27.719998;12.719789;0.935219
28.349999;12.576000;1.027737
28.979999;12.316500;1.176927
29.609999;11.934000;1.237917
30.239999;11.711999;1.151272
30.870000;11.734499;1.103742
31.500000;11.698499;1.015458
32.130000;11.644500;0.987405
32.760000;11.859000;0.924596
33.389997;11.957999;1.400263
34.019998;12.170999;1.684191
34.649998;12.313912;1.695423
35.279998;12.289499;1.625438
35.909998;12.277500;1.514155
36.539999;11.956500;1.307229
37.169999;11.666831;1.211948
37.799999;11.622464;1.344379
38.429999;11.708999;1.441193
39.060000;11.719500;1.492781
39.690000;11.550000;1.265115
40.319997;11.298592;0.808435
40.949997;11.110500;0.437737
41.579998;11.080500;0.204464
42.209998;11.084999;0.175328
42.839998;11.117999;0.189966
43.469998;11.149500;0.210217
44.099998;11.164500;0.233235
44.729999;11.145000;0.259186
45.359999;10.973261;0.324550
45.989999;10.912391;0.313892
46.619999;10.840500;0.302982
47.250000;10.741956;0.218451
47.879997;10.688695;0.176572
48.509997;10.678499;0.207261
49.139997;10.726739;0.203507
49.769998;10.755652;0.211870
50.400001;10.769999;0.227002
51.029998;10.804500;0.244732
51.659995;10.852499;0.227329
52.289999;10.899000;0.232480
52.919996;10.924499;0.289713
53.549999;10.915563;0.320823
54.179996;10.923000;0.346417
54.809999;10.924499;0.315228
55.439997;10.936267;0.362295
56.070000;10.887000;0.358734
56.699997;10.871999;0.297888
57.330000;10.906690;0.343506
57.959998;10.912500;0.322073
58.590001;10.948500;0.313448
59.219998;10.958999;0.343310
59.849995;10.961086;0.342098
60.479999;10.985435;0.325761
61.109996;10.995000;0.276175
61.739999;11.001000;0.238880
62.369996;11.014348;0.277018
63.000000;11.015869;0.321160
63.629997;11.066087;0.311798
64.260000;11.078261;0.267914
64.889997;11.088913;0.272411
65.520000;11.031086;0.336772
66.149998;10.955000;0.316593
66.779995;10.907826;0.240867
67.409998;10.822608;0.217709
68.039995;10.789130;0.169024
68.669999;10.770869;0.104837
69.299996;10.783044;0.089878
69.929999;10.786087;0.107062
70.559996;10.816522;0.171902
71.190000;10.891087;0.246971
71.819997;10.973261;0.322079
72.450000;11.122279;0.339445
73.079997;11.258161;0.356456
73.709995;11.415661;0.324553
74.339998;11.614852;0.294266
74.969995;11.749191;0.296524
75.599998;11.888507;0.393647
76.229995;12.267761;0.689744
76.859999;12.614317;0.876954
77.489996;12.612727;0.734201
78.119999;12.413863;0.659738
78.749996;12.383636;0.478697
79.380000;12.324772;0.482832
80.009997;12.108922;0.485950
80.639994;11.768076;0.379403
81.269997;11.569090;0.597873
81.899995;11.554845;0.272226
82.529998;11.575846;0.214810
83.159995;11.618409;0.189525
83.789998;11.706692;0.232325
84.419996;11.667923;0.594114
85.049999;11.562727;0.830900
85.679996;11.422384;0.837877
86.309999;11.167153;0.857871
86.939996;11.109318;0.680283
87.570000;11.005615;0.664818
88.199997;10.918385;0.590954
88.829994;10.905682;0.631817
89.459997;10.991077;0.599113
90.089995;11.013693;0.585369
90.719998;11.045681;0.596560
91.349995;11.109000;0.619460
91.979998;11.217231;0.598960
92.609996;11.201077;0.539214
93.239999;11.109000;0.347602
93.869996;11.076692;0.197608
94.499999;11.100923;0.233349
95.129997;11.194615;0.497522
95.759994;11.260846;0.495592
96.389997;11.383615;0.530594
97.019994;11.553281;0.636520
97.649997;11.764921;0.798455
98.279995;11.782968;0.854733
98.909998;11.753333;0.857499
99.539995;11.722265;0.912422
100.169992;11.510625;0.784980
100.800002;11.425000;0.717250
101.429999;11.349843;0.684194
102.059996;11.225156;0.542340
102.689993;11.141667;0.497826
103.319991;11.206666;0.417587
103.950000;11.149687;0.437232
104.579997;11.186666;0.364134
105.209994;11.246666;0.407776
105.839992;11.271093;0.376858
106.470001;11.236667;0.494432
107.099998;11.290000;0.431446
107.729995;11.344922;0.447572
108.359993;11.355000;0.457047
108.990002;11.368334;0.440018
109.619999;11.391667;0.453983
110.249996;11.433332;0.469997
110.879993;11.438333;0.502648
111.509991;11.421666;0.528965
112.140000;11.397580;0.530957
112.769997;11.381666;0.548164
113.399994;11.396666;0.532723
114.029992;11.346667;0.517741
114.660001;11.285859;0.454660
115.289998;11.250000;0.366527
115.919995;11.206666;0.315957
116.549993;11.136562;0.317112
117.180002;11.116875;0.243786
117.809999;11.113333;0.212652
118.439996;11.090624;0.211227
119.069993;11.113593;0.225214
119.699991;11.135000;0.224814
120.330000;11.165000;0.229116
120.959997;11.228437;0.253741
121.589994;11.292422;0.302690
122.219992;11.395000;0.291540
122.850001;11.505703;0.233908
123.479998;11.545078;0.236563
124.109995;11.566667;0.213480
124.739993;11.551640;0.229963
125.369990;11.512265;0.240848
125.999999;11.450000;0.235460
126.629996;11.422031;0.247272
127.259994;11.395000;0.222026
127.889991;11.278333;0.234896
128.520000;11.146406;0.158827
129.149997;11.153333;0.212856
129.779994;11.153333;0.191200
130.409992;11.167734;0.227610
131.040001;11.186666;0.193375
131.669998;11.191666;0.174122
132.299995;11.182500;0.200774
132.929993;11.201666;0.216416
133.559990;11.229999;0.256142
134.189999;11.261249;0.283937
134.819996;11.303333;0.271205
135.449994;11.281666;0.320119
136.079991;11.236640;0.299004
136.710000;11.209999;0.265060
137.339997;11.197265;0.224562
137.969995;11.193984;0.251519
138.599992;11.218593;0.285280
139.230001;11.415468;0.524169
139.859998;11.817422;0.851999
140.489995;11.925703;0.950055
141.119993;12.020859;1.018688
141.749990;12.183281;1.074323
142.379999;12.417890;1.192172
143.009996;12.404765;1.199322
143.639994;12.271874;1.112223
